classifer,parameters,auc-roc,p_at_5,r_at_5,f1_at_5,p_at_10,r_at_10,"f1_at_10,",p_at_20,r_at_20,f1_at_20,run_time
DT,"{'max_features': 'sqrt', 'min_samples_split': 2, 'criterion': 'entropy', 'max_depth': 1}",0.679692289993,0.666785269525,0.495112285337,0.568266242135,0.333392634762,0.495112285337,0.398469062301,0.336668890371,1.0,0.503743137581,0.022149
DT,"{'max_features': 'sqrt', 'min_samples_split': 5, 'criterion': 'entropy', 'max_depth': 1}",0.533969482046,0.288560754314,0.214266842801,0.245925252066,0.644280377157,0.95680317041,0.770040399745,0.336668890371,1.0,0.503743137581,0.022342
DT,"{'max_features': 'sqrt', 'min_samples_split': 10, 'criterion': 'entropy', 'max_depth': 1}",0.654673061755,0.463974381783,0.344517833554,0.395421120461,0.671944493862,0.997886393659,0.803104401446,0.336668890371,1.0,0.503743137581,0.011975
DT,"{'max_features': 'log2', 'min_samples_split': 2, 'criterion': 'entropy', 'max_depth': 1}",0.654673061755,0.463974381783,0.344517833554,0.395421120461,0.671944493862,0.997886393659,0.803104401446,0.336668890371,1.0,0.503743137581,0.022274
DT,"{'max_features': 'log2', 'min_samples_split': 5, 'criterion': 'entropy', 'max_depth': 1}",0.654673061755,0.463974381783,0.344517833554,0.395421120461,0.671944493862,0.997886393659,0.803104401446,0.336668890371,1.0,0.503743137581,0.012094
DT,"{'max_features': 'log2', 'min_samples_split': 10, 'criterion': 'entropy', 'max_depth': 1}",0.724382712499,0.909980430528,0.675693527081,0.775528769616,0.454990215264,0.675693527081,0.54380182862,0.227484989993,0.675693527081,0.340375977375,0.022941
DT,"{'max_features': 'sqrt', 'min_samples_split': 2, 'criterion': 'entropy', 'max_depth': 5}",0.774064669114,0.47553816047,0.353104359313,0.405276324767,0.343177370575,0.50964332893,0.410163725282,0.215966199689,0.641479524439,0.323140908335,0.06381
DT,"{'max_features': 'sqrt', 'min_samples_split': 5, 'criterion': 'entropy', 'max_depth': 5}",0.835754607435,0.496708770681,0.368824306473,0.423318929573,0.36443693293,0.541215323646,0.435573038486,0.245230153436,0.728401585205,0.36692729995,0.081801
DT,"{'max_features': 'sqrt', 'min_samples_split': 10, 'criterion': 'entropy', 'max_depth': 5}",0.807005048166,0.481053193382,0.357199471598,0.409976499128,0.354652197118,0.526684280053,0.423878375505,0.222503891483,0.660898282695,0.332922974547,0.080611
DT,"{'max_features': 'log2', 'min_samples_split': 2, 'criterion': 'entropy', 'max_depth': 5}",0.8003790159,0.451521081658,0.335270805812,0.384807823516,0.380448318804,0.56499339498,0.454709759728,0.227351567712,0.675297225892,0.34017634337,0.040764
DT,"{'max_features': 'log2', 'min_samples_split': 5, 'criterion': 'entropy', 'max_depth': 5}",0.788706766008,0.470912648995,0.349669749009,0.401334243045,0.407045009785,0.604491413474,0.486497980013,0.286190793863,0.850066050198,0.428214939278,0.04817
DT,"{'max_features': 'log2', 'min_samples_split': 10, 'criterion': 'entropy', 'max_depth': 5}",0.822816851569,0.500800569294,0.371862615588,0.426806155712,0.401885785447,0.596829590489,0.480331703168,0.271870135646,0.807529722589,0.406787556147,0.058072
DT,"{'max_features': 'sqrt', 'min_samples_split': 2, 'criterion': 'entropy', 'max_depth': 10}",0.780174256066,0.429816758584,0.319154557464,0.366310363126,0.325297989682,0.483091149273,0.388794386562,0.218056482099,0.647688243065,0.326268507736,0.122492
DT,"{'max_features': 'sqrt', 'min_samples_split': 5, 'criterion': 'entropy', 'max_depth': 10}",0.788616560121,0.425724959972,0.316116248349,0.362823136987,0.324408468244,0.48177014531,0.387731235382,0.218812541694,0.649933949802,0.327399767094,0.124899
DT,"{'max_features': 'sqrt', 'min_samples_split': 10, 'criterion': 'entropy', 'max_depth': 10}",0.783438843659,0.433374844334,0.32179656539,0.369342733682,0.328322362569,0.487582562748,0.392409100574,0.223082054703,0.662615587847,0.333788055232,0.113362
DT,"{'max_features': 'log2', 'min_samples_split': 2, 'criterion': 'entropy', 'max_depth': 10}",0.778300602863,0.454723358833,0.337648612946,0.387536957016,0.353406867105,0.524834874505,0.422389963853,0.216944629753,0.644385733157,0.324604891033,0.120707
DT,"{'max_features': 'log2', 'min_samples_split': 5, 'criterion': 'entropy', 'max_depth': 10}",0.779786714369,0.414339085572,0.307661822985,0.353119551209,0.330190357588,0.49035667107,0.394641718052,0.217656215255,0.646499339498,0.325669605723,0.131028
DT,"{'max_features': 'log2', 'min_samples_split': 10, 'criterion': 'entropy', 'max_depth': 10}",0.792906546853,0.437288738659,0.324702774108,0.372678341293,0.338107098381,0.502113606341,0.404103763555,0.220235712697,0.654161162483,0.329529196473,0.119002
DT,"{'max_features': 'sqrt', 'min_samples_split': 2, 'criterion': 'entropy', 'max_depth': 20}",0.609623513304,0.312755737413,0.232232496697,0.266545371844,0.233410425191,0.346631439894,0.278970869658,0.138670224594,0.411889035667,0.207486275162,0.18719
DT,"{'max_features': 'sqrt', 'min_samples_split': 5, 'criterion': 'entropy', 'max_depth': 20}",0.625632838024,0.328767123288,0.244121532365,0.280191039345,0.239192314535,0.355217965654,0.285881352328,0.14325105626,0.425495376486,0.214340375977,0.179263
DT,"{'max_features': 'sqrt', 'min_samples_split': 10, 'criterion': 'entropy', 'max_depth': 20}",0.675748230757,0.325920654688,0.242007926024,0.2777651429,0.267745952677,0.397622192867,0.320008505209,0.179630865021,0.533553500661,0.26877391449,0.181721
DT,"{'max_features': 'log2', 'min_samples_split': 2, 'criterion': 'entropy', 'max_depth': 20}",0.625891406185,0.306529087351,0.227608982827,0.261238723372,0.234388898772,0.348084544254,0.280140335956,0.135512563932,0.40250990753,0.202761603727,0.162541
DT,"{'max_features': 'log2', 'min_samples_split': 5, 'criterion': 'entropy', 'max_depth': 20}",0.638576297072,0.325564846113,0.241743725231,0.277461905845,0.250933997509,0.372655217966,0.299914947906,0.144318434512,0.428665785997,0.215937448012,0.182313
DT,"{'max_features': 'log2', 'min_samples_split': 10, 'criterion': 'entropy', 'max_depth': 20}",0.678827185276,0.357053904999,0.265125495376,0.304298385263,0.259651307597,0.385601056803,0.310333829471,0.167622859684,0.497886393659,0.250806854101,0.169013
DT,"{'max_features': 'sqrt', 'min_samples_split': 2, 'criterion': 'entropy', 'max_depth': 50}",0.61083948588,0.369507205124,0.274372523118,0.314911682208,0.502045899306,0.745574636724,0.600042526047,0.336668890371,1.0,0.503743137581,0.173894
DT,"{'max_features': 'sqrt', 'min_samples_split': 5, 'criterion': 'entropy', 'max_depth': 50}",0.631164276456,0.309019747376,0.229458388375,0.263361382761,0.308308130226,0.45785997358,0.368488199022,0.336668890371,1.0,0.503743137581,0.197707
DT,"{'max_features': 'sqrt', 'min_samples_split': 10, 'criterion': 'entropy', 'max_depth': 50}",0.664488994756,0.318448674613,0.236459709379,0.271397164734,0.256093221847,0.380317040951,0.30608122475,0.336668890371,1.0,0.503743137581,0.190054
DT,"{'max_features': 'log2', 'min_samples_split': 2, 'criterion': 'entropy', 'max_depth': 50}",0.605282995402,0.350115637787,0.259973579921,0.298385262679,0.529176303149,0.785865257596,0.63246863704,0.336668890371,1.0,0.503743137581,0.17595
DT,"{'max_features': 'log2', 'min_samples_split': 5, 'criterion': 'entropy', 'max_depth': 50}",0.630720718985,0.302615193026,0.224702774108,0.257903115761,0.318181818182,0.472523117569,0.380289177121,0.336668890371,1.0,0.503743137581,0.203251
DT,"{'max_features': 'log2', 'min_samples_split': 10, 'criterion': 'entropy', 'max_depth': 50}",0.661492031502,0.316847536026,0.235270805812,0.270032597983,0.248710193916,0.369352708058,0.297257069955,0.336668890371,1.0,0.503743137581,0.201771
DT,"{'max_features': 'sqrt', 'min_samples_split': 2, 'criterion': 'entropy', 'max_depth': 100}",0.60858659127,0.362213129336,0.268956406869,0.308695322568,0.511830635118,0.760105680317,0.611737189028,0.336668890371,1.0,0.503743137581,0.192398
DT,"{'max_features': 'sqrt', 'min_samples_split': 5, 'criterion': 'entropy', 'max_depth': 100}",0.636640769956,0.318982387476,0.236856010568,0.271852020317,0.319960861057,0.475165125495,0.382415479481,0.336668890371,1.0,0.503743137581,0.184874
DT,"{'max_features': 'sqrt', 'min_samples_split': 10, 'criterion': 'entropy', 'max_depth': 100}",0.66510873921,0.321828856075,0.238969616909,0.274277916761,0.256626934709,0.381109643329,0.306719115458,0.336668890371,1.0,0.503743137581,0.186732
DT,"{'max_features': 'log2', 'min_samples_split': 2, 'criterion': 'entropy', 'max_depth': 100}",0.611947649179,0.374488525173,0.278071334214,0.319157000986,0.485767657001,0.721400264201,0.580586859451,0.336668890371,1.0,0.503743137581,0.184931
DT,"{'max_features': 'log2', 'min_samples_split': 5, 'criterion': 'entropy', 'max_depth': 100}",0.630214004481,0.313111545988,0.23249669749,0.2668486089,0.316402775307,0.469881109643,0.378162874761,0.336668890371,1.0,0.503743137581,0.180992
DT,"{'max_features': 'log2', 'min_samples_split': 10, 'criterion': 'entropy', 'max_depth': 100}",0.664397811883,0.318448674613,0.236459709379,0.271397164734,0.254225226828,0.377542932629,0.303848607272,0.336668890371,1.0,0.503743137581,0.201646
KNN,"{'n_neighbors': 1, 'weights': 'uniform', 'algorithm': 'auto'}",0.526506282085,0.140722291407,0.104491413474,0.119930255477,0.570361145704,0.847027741083,0.681692536679,0.336668890371,1.0,0.503743137581,3.450582
KNN,"{'n_neighbors': 1, 'weights': 'distance', 'algorithm': 'auto'}",0.526506282085,0.140722291407,0.104491413474,0.119930255477,0.570361145704,0.847027741083,0.681692536679,0.336668890371,1.0,0.503743137581,3.493493
KNN,"{'n_neighbors': 5, 'weights': 'uniform', 'algorithm': 'auto'}",0.561740924285,0.421633161359,0.313077939234,0.359335910848,0.225137875823,0.334346103038,0.269083563683,0.11256393151,0.334346103038,0.168424554983,3.875254
KNN,"{'n_neighbors': 5, 'weights': 'distance', 'algorithm': 'auto'}",0.56388945962,0.133961928482,0.0994715984148,0.114168751421,0.118128446896,0.175429326288,0.141186476717,0.105581498777,0.313606340819,0.15797704209,3.926472
