model_type,clf,parameters,auc-roc,p_at_5,p_at_10,p_at_20,run_time
DT,DT,"{'criterion': 'entropy', 'max_depth': 10, 'max_features': 'log2', 'min_samples_split': 10}",0.8216031105138427,0.456,0.3344,0.22733333333333333,0.288529
DT,DT,"{'criterion': 'entropy', 'max_depth': 20, 'max_features': 'sqrt', 'min_samples_split': 2}",0.6258304227278516,0.3194666666666667,0.2472,0.15493333333333334,0.4262
DT,DT,"{'criterion': 'entropy', 'max_depth': 20, 'max_features': 'sqrt', 'min_samples_split': 5}",0.6582544728778252,0.3376,0.26853333333333335,0.16693333333333332,0.405981
DT,DT,"{'criterion': 'entropy', 'max_depth': 20, 'max_features': 'sqrt', 'min_samples_split': 10}",0.689314354501801,0.36533333333333334,0.28053333333333336,0.18986666666666666,0.401509
DT,DT,"{'criterion': 'entropy', 'max_depth': 20, 'max_features': 'log2', 'min_samples_split': 2}",0.6270595509763623,0.3178666666666667,0.24933333333333332,0.15453333333333333,0.383274
DT,DT,"{'criterion': 'entropy', 'max_depth': 20, 'max_features': 'log2', 'min_samples_split': 5}",0.6667032124612768,0.33813333333333334,0.27653333333333335,0.17306666666666667,0.441209
DT,DT,"{'criterion': 'entropy', 'max_depth': 20, 'max_features': 'log2', 'min_samples_split': 10}",0.6740846710627432,0.33866666666666667,0.2752,0.18266666666666667,0.389176
DT,DT,"{'criterion': 'entropy', 'max_depth': 50, 'max_features': 'sqrt', 'min_samples_split': 2}",0.610919019630051,0.36693333333333333,0.5013333333333333,0.3396,0.492048
DT,DT,"{'criterion': 'entropy', 'max_depth': 50, 'max_features': 'sqrt', 'min_samples_split': 5}",0.6259316018410993,0.29973333333333335,0.31893333333333335,0.3396,0.460266
DT,DT,"{'criterion': 'entropy', 'max_depth': 50, 'max_features': 'sqrt', 'min_samples_split': 10}",0.6577947327349933,0.3141333333333333,0.2432,0.3396,0.423558
DT,DT,"{'criterion': 'entropy', 'max_depth': 50, 'max_features': 'log2', 'min_samples_split': 2}",0.6098335191063851,0.36693333333333333,0.5002666666666666,0.3396,0.447664
DT,DT,"{'criterion': 'entropy', 'max_depth': 50, 'max_features': 'log2', 'min_samples_split': 5}",0.6318383446789295,0.3024,0.3232,0.3396,0.435681
DT,DT,"{'criterion': 'entropy', 'max_depth': 50, 'max_features': 'log2', 'min_samples_split': 10}",0.6628313295825116,0.3194666666666667,0.24746666666666667,0.3396,0.475042
DT,DT,"{'criterion': 'entropy', 'max_depth': 100, 'max_features': 'sqrt', 'min_samples_split': 2}",0.6009727280756656,0.34773333333333334,0.4704,0.3396,0.430114
DT,DT,"{'criterion': 'entropy', 'max_depth': 100, 'max_features': 'sqrt', 'min_samples_split': 5}",0.6274568538057348,0.29973333333333335,0.30693333333333334,0.3396,0.420074
DT,DT,"{'criterion': 'entropy', 'max_depth': 100, 'max_features': 'sqrt', 'min_samples_split': 10}",0.6615646165088076,0.3237333333333333,0.24533333333333332,0.3396,0.440608
DT,DT,"{'criterion': 'entropy', 'max_depth': 100, 'max_features': 'log2', 'min_samples_split': 2}",0.608779621961584,0.36533333333333334,0.4984,0.3396,0.450847
DT,DT,"{'criterion': 'entropy', 'max_depth': 100, 'max_features': 'log2', 'min_samples_split': 5}",0.6351404119532729,0.3072,0.3136,0.3396,0.401072
DT,DT,"{'criterion': 'entropy', 'max_depth': 100, 'max_features': 'log2', 'min_samples_split': 10}",0.6569016438261348,0.3184,0.24453333333333332,0.3396,0.422653
KNN,KNN,"{'algorithm': 'auto', 'n_neighbors': 1, 'weights': 'uniform'}",0.5337429731063726,0.1648,0.5824,0.3396,3.960374
KNN,KNN,"{'algorithm': 'auto', 'n_neighbors': 1, 'weights': 'distance'}",0.5337429731063726,0.1648,0.5824,0.3396,3.915449
